"","cell_1","cell_2","cell_3","cell_4","cell_5","cell_6","cell_7","cell_8","cell_9","cell_10","cell_11","cell_12","cell_13","cell_14","cell_15","cell_16","cell_17","cell_18","cell_19","cell_20"
"RPL29P2",0,0,8.10954,0,0.961132,0,0,0.1066635,0.137985,0.501214,10.133465,0,0,0,0,0,5.42181,0,0,0
"RPL3",737.094,306.131,92.9448,0.5674855,93.10465,714.915,121.7735,74.6105,181.645,430.6775,22.1267,0.230641,132.333,0.6985815,317.1305,873.537,2.993335,6.98945,398.4305,628.771
"RPL30",134.479,0.428004,75.2727,292.374,9.21584,7.99917,166.3635,34.3665,435.994,2.19383,28.03275,0.2772395,165.992,2.81452,186.828,47.3286,71.722,256.2995,52.1786,2.206205
"RPL31",114.148,1.25178,269.127,3.853085,300.3725,599.64,222.2585,125.339,249.9515,176.6775,135.53,673.9035,114.264,8.311665,158.686,1284.17,182.7115,155.3295,1313.55,1367.865
"RPL31P11",0,0,0.256547,0,3.59749,5.05304,1.4831935,0.6931875,0,0.063357,13.61145,0,0,0,0,0,0,0,1.68004,0.07420025
"RPL32",38.4032,0,0.898695,0.10316225,24.8043,18.0757,39.5573,36.31525,99.6846,14.9991,10.91575,142.4395,0.547113,197.9285,66.66295,109.0515,7.84876,0.23453675,18.7557,3.74526
"RPL32P3",0.330377,0.248366,48.4989,0.137452,0.6629685,0.40642,0.401835,0.6187665,0.1407125,0.8190925,0.805929,0.0247515,0,0.03502985,0.424937,0.0651685,0.590891,0.1295095,0.02986155,0.0344623
"RPL34",16.1398,9.15751,70.0052,22.0548,112.17885,47.9079,89.36285,59.74195,159.0195,109.165,41.23275,37.91025,26.0093,9.03815,136.252,369.2915,89.04425,302.421,246.285,193.1255
"RPL34-AS1",0.137374,0.151243,0.120562,0.19367,0.635,0.286531,0.6482675,0.5260805,0.2092085,0.474264,2.26127,0.0239643,0,0.1604425,0.478647,0.06217015,0.9110995,0.0760234,0.0291554,0.6487215
"RPL35",814.931,1.6415,538.933,66.92195,523.948,370.043,261.7395,206.585,1206.28,1149.69,278.7005,1278.23,50.3124,919.529,438.2715,4255.835,73.3951,1616.95,673.19,1438.56
"RPL35A",239.887,0,218.988,0.2801645,216.9255,0,7.20388,52.1978,165.989,0.383528,34.4169,341.7795,759.112,3.598215,62.82245,785.9645,10.281205,167.5975,168.783,691.1455
"RPL36",18.7578,49.6725,242.228,0,222.5435,13.0204,108.602,150.4385,879.3055,1.758595,17.916,1271.24,0,2.75858,3.265205,66.3777,0,540.493,0.3845425,162.778
"RPL36A",0.551306,13.3125,20.2068,0.7076915,33.4325,4.25554,10.25749,20.64835,54.59415,0.276936,43.102,137.8285,0.675802,52.4641,11.442375,155.5975,22.4059,59.10585,0.928295,64.1449
"RPL36A-HNRNPH2",4.59102e-13,2.20592e-09,7.6566,4.48698625e-16,6.037605e-08,0,0.0135174663232,0.2059065,0.374931,1.5079e-06,9.074345e-08,9.581525e-08,0.137957,9.00386,0.000250335,1.199516e-07,0.04811679534705,0.000150320272784,0.0219012564075,0.0219630714362
"RPL36AL",0.557788,352.769,7.30481,0,80.48525,0,93.09765,6.55467,225.249,0,5.900765,10.87358,5.59896,0,120.3725,782.792,15.69165,1903.33,0,0.3665965
"RPL37",20.5984,0,3.29161,0.813057,1.304645,0.249084,6.10775,9.98836,7.74345,1.45939,2.6394,0.06478945,8.17393,21.94745,0.520591,40.5887,0,18.1948,18.8289,3.4328
"RPL37A",570.695,69.7862,349.498,215.55,145.997,165.947,197.332,227.5885,139.182,510.683,14.62625,752.431,324.962,237.712,114.0475,335.414,58.6629,161.8925,70.7931,585.995
"RPL38",12.1141,0,65.9991,145.8265,79.91365,0,149.799,265.366,461.1495,261.7605,16.3165,106.0925,0,337.3585,33.76285,345.948,69.2529,909.806,49.80395,704.8425
"RPL39",110.767,0,136.872,0.704215,49.23955,299.682,21.7815,63.4549,373.268,1.49201,56.9926,0.4801235,44.8494,1.25467,29.23955,0.53067,80.7577,1.07181,696.807,3.143365
"RPL39L",0,0,0,0,0.099051,0,0,0,12.2314,0,0,0,0,0,0.176693,94.0097,0,0,0,0
"RPL3L",0,0,0,0,5.017585,0,0.0403921,1.764995,0,0,3.47163,0,0,0,0,0,1.0458695,0,0,0
"RPL4",121.222,31.6154,116.037,156.5765,76.4337,3.17336,66.4961,39.8289,171.512,0.1635645,33.43155,922.9805,99.2929,42.2537,35.6613,270.901,15.0606,0.22779785,35.12915,4.49119
"RPL41",570.335,558.901,362.723,170.171,243.69,321.575,332.739,317.4115,853.062,11.81416,276.808,469.705,35.1267,838.574,143.928,2418.315,108.7835,1086.415,684.727,133.8535
"RPL5",42.9994,0.516762,28.4424,63.50205,153.1665,389.804,27.3655,91.0763,909.6975,81.00035,137.8145,342.626,62.1644,0.073968,90.3177,769.5855,130.5995,218.1555,57.11135,288.1215
"RPL6",1054.37,0.604767,17.2255,4.166095,6.94762,22.1097,54.50495,3.93687,179.6595,11.56735,52.74565,193.0985,127.111,0.4364025,171.3515,44.26375,1.606215,25.0774,6.117575,18.6857
"RPL7",608.813,38.0234,305.137,103.7602,276.681,322.068,115.9459,201.1745,276.4075,0.1422195,354.632,975.9365,71.639,0.1773205,756.7355,2105.09,194.8825,871.261,311.4595,6.030245
"RPL7A",352.817,0.510843,1.80448,0.6044725,21.2118,1.22894,56.19475,42.51725,448.7935,0.1583025,21.295,536.4985,0.242163,0.22431,11.13193,0.5138395,0.84569,150.3555,310.7195,327.249
"RPL7L1",0.978549,5.90031,3.19011,4.421385,7.634575,1.27006,5.907465,14.1352,1.527265,2.85327,10.916755,1.169505,3.63274,6.64269,1.836345,1.0881885,11.10333,0.04807565,7.900735,4.862425
"RPL8",78.7758,83.2284,729.616,29.9205,113.112,55.4451,42.2201,182.058,80.15755,0.662304,5.75067,890.8435,35.5232,10.13283,4.243105,243.1535,51.3907,599.42,379.365,183.22
"RPL9",381.247,0.222256,43.1565,0.590919,31.961,562.902,71.56345,244.7035,275.4225,8.10093,111.2862,282.929,35.2677,0.331497,234.7075,815.7265,14.80825,103.739,405.4005,25.4303
"RPLP0",621.193,665.901,71.4741,47.96495,157.793,8.23901,142.7605,183.5205,114.2205,0.231048,80.00385,834.285,150.459,15.474,398.1815,2435.665,189.571,1.925993,0.7125945,866.8295
"RPLP0P2",4.90919,3.74831,1.90482,1.574655,2.8357,1.08378,2.068225,3.42571,1.56022,3.053295,4.299855,2.15699,0.661016,1.2971,1.725875,2.639925,3.68402,0.233403,0.7448,1.95539
"RPLP1",61.5714,5.10965,300.606,334.335,338.1315,175.441,86.72875,83.808,735.4415,130.14,28.1798,476.8595,482.467,27.79255,53.25895,1303.83,118.4395,1989.99,415.3285,827.631
"RPLP2",109.291,547.443,72.8685,6.0348,197.4135,0,102.365,78.06145,625.559,122.0965,39.75435,0.54845,46.8035,459.4055,65.47865,639.172,61.48815,159.7015,4.580825,29.90055
"RPN1",2.21986,0.0673171,2.23401,0.050519,0,0,2.399785,2.94201,0.0477989,0,15.95305,0.0206476,0,0.03139355,0.0737535,0,0,358.934,0.0531665,0.0916256
"RPN2",0,0.0630092,21.261,0.053313,2.01366,0,0.0677463,0.366813,0,0,0.11616515,0.0381477,0.0575686,44.1682,0,0,0,0.052538,222.7615,0.0585645
