"","cell_1","cell_2","cell_3","cell_4","cell_5","cell_6","cell_7","cell_8","cell_9","cell_10","cell_11","cell_12","cell_13","cell_14","cell_15","cell_16","cell_17","cell_18","cell_19","cell_20"
"CDK4",3.18327,2.20065,6.78972,4.21008,5.00632,3.08496,36.53375,7.632895,123.4135,5.47038,25.1987,27.54675,2.71649,40.8139,5.134255,35.3664,10.5214,1.652185,1.133865,2.91698
"CDK5",11.31,0,0,0,12.98865,0,0,0,35.31545,64.20385,0.57351,0.1331295,0,0,2.61596,0,2.312245,0,0,0
"CDK5R1",38.2546,176.497,3.72215,0.6206785,0.0137421,1.42712,0.01074965,4.611955,7.972185,51.22445,3.873705,0.5504775,41.7202,0,0,0,2.68358,0.01576285,2.43185,0
"CDK5R2",0,0,0,0,0,0,0,2.68669,83.7388,0,0,196.8645,0,0.1176395,1.011114,62.846,0.179952,16.1814,58.7734,0
"CDK5RAP1",0,0,0,0,0,220.957,0,0,0,0,0.11416375,0,0,0,0.2123235,0,0,0,0,0.0826195
"CDK5RAP2",0.0248195,0,0.0230274,0.008209,0,0.037994,0,3.032165,0.00807685,2.65539,1.72877,56.03995,0,0,0,0,0,0.0179943,0,0
"CDK5RAP3",0,17.9731,6.33837,0,0.225584,0,0.03128465,0,0.0320643,0,0.8421115,0,0.175649,0,0.270498,39.80645,7.25567,0,0,0.0888855
"CDK6",0,0,0,0.013871445,0,0,0,0.05382455,0,0,0,0.07609945,7.76825,0.02218915,0,0.00883539,0,0,0,0.00642155
"CDK7",0,0,0,0,0.04656155,0,0,0,0.0820651,0,0.17370165,0,0.112739,0.0725605,0.02747445,0.323915,0.069921,0,60.0127,0
"CDK8",0,0,0,0.0654571,0.2411421,0,5.73087,1.1329085,0,0.05446,0.537826,0,0,0,0,0,0,0,0,0
"CDK9",0,0,1.8912,0.9585845,0.13064925,0,0,0.0594429,0.02603225,0,0.1196426,0,0,0,1.825285,2.33712,0,0,0,0
"CDKAL1",0.600159,0.122143,0.363086,0.9227845,1.94849,1.04479,0.8834355,2.15601,12.92585,2.17791,8.10228,0.434242,0.590867,2.930365,1.79003,0.3346895,3.62916,0.11857075,1.233215,0.253929
"CDKL1",0.674647,0.297349,0.29502,0.88449,2.227795,0.900137,0.8952645,2.06913,0.01974495,3.472415,3.929185,0.23259,0.216301,1.26652,1.293983,0.15819255,2.38878,0.4738775,2.860795,3.517815
"CDKL2",0,0,0,0,0,0.471911,0.28962,0,0.00663855,0,1.381875,0,0,0,20.4448,18.79575,0.468337,0,7.70089,62.07135
"CDKL3",0,0,0,0,0.07008885,0,0,0,0,0,0.3224415,52.8662,2.35476,0,0,0,0,0,0,0.4066565
"CDKL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0.060411,0,0,0,0,0,0
"CDKL5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKN1A",0,0,65.0425,0.106337,2.96766,4.31354,15.03595,25.14735,0.0691475,0,0.1915543,152.6375,0,0,0.0540105,0,5.171015,0,0.038075,0
"CDKN1B",28.697,0,0,0,0,0.0940201,4.209145,0,0.033564,0,14.3588,0.0297066,0,0,2.565545,0.0394839,2.50501,0.146049,0.03715665,0.038114
"CDKN1C",0,0.147669,0,0,1.63512,0,0,0.13621505,0,0,1.948911,0,4.14616,0,0,0,0,0,0,0
"CDKN2A",0,0,0,0,0,0,8.726685,0,0,0,0,0,0,0,0,0,0.174031,0,0,0
"CDKN2A-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKN2AIP",0,0,1.44294,0,7.47524,0,0.0126469,0.0193755,0.0175826,0,0,0,19.4467,0,0,0,0.0231011,0,0,0
"CDKN2AIPNL",0.924692,5.56148,1.00972,0,21.98835,0.606638,1.228955,2.932425,44.9732,7.146615,6.605325,22.92995,1.19565,2.488985,1.78066,0.49417,6.3268,0.8244045,19.74975,581.8565
"CDKN2B",0,0,0,0.0119191,0,0,0,0.0180737,0,0,0,0,0,0,0,0.01185325,0,0,0,0
"CDKN2B-AS1",0.220845,3.4667,1.51302,0.9425995,1.92286,2.45201,0.7516305,1.990745,0.916751,3.62287,4.54826,0.636002,0.743202,2.197015,2.08641,0.03461135,1.795775,0.150327,3.942375,5.816875
"CDKN2C",0,0,0,0,0,0,0,0.248994,0,0,0,0,0,0,0,0,0,0,0,0
"CDKN2D",0,0.496057,1.64906,0,1.277917,0,0.0934455,0.595161,7.18661,0,3.700035,0,211.558,0.4762215,0.1089885,4.844565,10.29766,5.890295,0.0775805,47.286
"CDKN3",0,0.195923,0,0,0,0,0,1.315451,0,0,1.032415,7.569735,0,0,0,0,0.0994895,0,0,0
"CDNF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDO1",0,0,0,0,0,0,0,0.03200305,0,0.0333445,0.6736505,34.09855,0,0,0,0,0,0,9.457545,0
"CDON",0.0389946,0.0530273,0.0163009,0.04117495,1.1640155,0.0517554,0.959966,0.1448475,0.1759015,1.030056,1.247485,0.05344295,0.282078,0.0356923,0.5315065,0.08062825,1.628505,0.0491288,0.0055077,0.1274698
"CDPF1",0,0,0,0,0.0395951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDR1",322.88,0.0721702,3.41995,0,48.60085,0,17.3462,0.2302435,2.07234,0,29.6117,0.04629835,17.3465,0,29.76575,0.806719,51.9418,0,0.1297955,15.9774
"CDR2",0,0,0,0,0,0,0,0.06041135,0,0,0,0,0,0,0.0279812,0.02120705,0,0,0,0
"CDR2L",0,0,0.147595,0,13.63035,71.7876,0.0149049,5.756775,11.41295,0,2.40389,0.0233565,0.0921618,0,0.9388985,17.89475,0,10.8323,10.03685,0.1774185
"CDRT1",0,0,0,0.03552615,0,0,0,0,0,0,0.04984615,0,0,0,0,0,5.73588,0,0,0
"CDRT15",0,0,0,0,0,0,0,0,0,0,0.365323,0,0,0,0,0,0,0,0,0.218183
"CDRT15L2",0,0,0,0,0,0,0,0,0,0,0.7682675,0,0,0,0,0,0,0,0,0
"CDRT15P1",0,0,0,0,0,0.315012,0.03634705,0,0,0,2.088565,0,0,0,0,0,0,0,0,0.536412
"CDRT15P2",0,0,0,0,0,0,0,0,0,0,0.4241875,0,0,0,0,0,0,0,0,0
"CDRT4",0,0,0,0,0.174643,0,0,0.0189949,0,0,0,0,14.3896,0,0,0,0,0,0,0
"CDRT7",0,0,0,0,0,0,0.0536745,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDRT8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDS1",0,0,0,0,0,0,0,0.01387255,0,0,0.0496999,0,0,0,13.8654,0,0.329889,0,0.00837435,0
"CDS2",0,0,8.07058,0,0.039945,0.0236374,1.6306,0.517054,10.9727,6.75827,0.273139,0,0,77.84475,0,0.625162,0.5194485,0.208491,19.0631,0.02163875
"CDSN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDT1",0.636149,10.5796,1.68382,1.2426385,1.334265,8.25039,3.06681,2.132695,0.16115,4.286105,3.25938,0.21639,1.47069,1.0405545,1.713645,0.083327,2.798375,0.372828,1.16447,0.613287
"CDV3",3.27419,19.1366,1.01718,0.852551,0.569163,7.05839,0.298541,0.02389605,59.6094,0,0,3.60089,2.63938,0,3.195275,0.31094,5.64028,0.672548,6.418705,0.0636785
"CDX1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDX2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDX4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059345,0,0,0
"CDY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDY2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDY2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDYL",0.0902481,0,0,0.2986665,2.038645,0.321851,0.275059,1.43529,0.0242697,1.059369,0.935903,7.267475,0.0510587,0.754672,1.0768325,0.0582515,1.866305,0,0.1307905,0.0275225
"CDYL2",0,0,0,0,0,0,0,0,0,0,4.55666,0,0,0,0,0,0,0,0,0
"CEACAM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEACAM16",0,0,0,0,0,0,1.29162,0,0,0,0.09163275,0.447198,0,0.0701725,0,0,0,0,0,0
"CEACAM18",0,0,0,0,0,0,0,0,0,0,0.03690235,0,0,0,17.69745,0,2.70414,0,0,0
"CEACAM19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363732,0,0,0,206.6205
"CEACAM20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEACAM21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEACAM22P",3.83114,5.29752,1.95377,2.00396,11.1018,6.68547,7.95052,10.3923,4.159765,7.498585,15.16275,5.335775,1.06693,9.091275,8.411495,5.263735,14.23565,0.528017,6.80706,4.37275
"CEACAM3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEACAM4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945845,0,0.084219,0.1567365,0,0
"CEACAM5",1.06713,0.638132,0.170031,0.5743825,2.5625,2.37226,3.123335,3.99122,0.887342,4.22606,5.242225,0.957786,0.434723,1.386795,1.7264,0.1880325,7.06566,0.7936415,1.079455,1.650075
"CEACAM6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEACAM7",0,0,0,0,0.0515786,0,0,9.110125,0,0,0,0,0,0,0,0,0,0,0,0
"CEACAM8",1.04294,3.1602,0.624723,2.037955,4.5741,3.33814,3.338925,5.740495,0.983184,4.426535,10.69465,1.87181,2.8738,3.46249,4.350185,1.721565,5.863725,0.06229705,0.7310365,1.36025
"CEBPA",0,0,0,0,0,0,24.77705,0,0,0,0.04707265,0,0,0,0,0,0,0.1000925,0,0
"CEBPA-AS1",0,5.61033,0,0,0,0,0.386699,0,0,0,0,0,0,0,0,0,0.0536375,0,0,0
"CEBPB",0,0,0,0,0,0,0,0.1173105,0,0,0,0,0,0,0,0.1798865,0,0,0,0
"CEBPB-AS1",0.153859,0.106424,1.13727,0.2923925,4.794865,0.589229,1.0877,1.186315,0.1445125,0.7850275,3.261875,0.4173935,0.0974516,0.0813321,0.959003,0.2609945,1.24929,1.173673,0.9239805,0.3006985
"CEBPD",0.604329,0,0,0,0.080632,0,0,0,0.618905,0,0,0,0,0,0,0,3.184575,0,0,0
"CEBPE",0,0,0,0,4.605715,0,0.798825,0.086545,0,0,0.1153154,0,0,0,0,0.1731425,14.78675,0,0,0.2019075
"CEBPG",0,0.0402889,0,0,6.86547,0,0,0,19.3891,4.778975,4.42114,0,0.490382,0,0,1.80811,0,0,0,0.01916705
"CEBPZ",0.107839,2.92809,0.334651,0,5.47951,0,0.00816885,0,0.1491384,0.0139004,0,0,0.0189425,10.4835,0,0.490636,0.0719135,0.09081725,0.9688045,0
"CEBPZOS",1.37258,0.829418,0.59452,0.894646,6.08009,3.82059,2.38627,5.77386,1.559735,5.13519,14.50015,0.421613,1.82576,3.889575,3.30152,8.67938,10.280095,10.568,1.1546265,0.810255
"CECR1",0.342697,0.342631,0.0601822,0.9409025,1.236345,0.634592,1.411845,1.94581,6.09427,0.259218,2.73328,0.7784805,0.0398721,0.2138575,0.6617715,74.41795,1.323425,7.0615,0.0626755,0.983887
"CECR2",1.41134,0.0646508,0.160275,0.118866,1.707255,5.86814,0.4516455,2.173565,3.932935,0.404628,1.527615,0.1126314,0.057546,1.093305,0.4110745,0.603853,1.73267,0.0369066,0.078872,13.21995
"CECR3",0,0,0,0,0,0,0,0,0,0,0.2281485,0,0,0,0,0,0,0,0,0
"CECR5",9.88566,0,1.10024,0,0.07276,0,0,2.816155,1.0022055,0.092368,0.577018,0,0,0,126.8875,96.6889,0,449.2045,0,0
"CECR5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.91745,0,0,0,0,0
"CECR6",0,6.14765,0,0,0.0134955,0,0,0.01234855,0.01515655,0,0.0347795,0,0,0,0,43.1805,0,0,0.5898415,0
"CECR7",0,0,0,0,0,4.69089,5.49842,0.2279935,0,0,2.274145,0,0,0,0,0,0,0,0,0
"CEL",0,0,0,5.687335,0,0,0,0.565294,0,0,1.65351,0,0,17.3072,0,0,0,0,0,0
"CELA1",0,0,0,0,0,0,0,0,0,0,0.13791105,0,0,0,0,0,0,0.099567,0,0
"CELA2A",0,0,0,0,0,0,0,0.713022,0,0,0.327837,0,0,0,0,0,0,0,0,0
"CELA2B",0,0,0,0,0,0,0,0,0,0,0.1906195,0,0,0,0,0,0,0,0,0
"CELA3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELA3B",0,0,0,0,0,0,0,2.43006,0,0,1.45226,0,0,0,0,0,0,0,0,0
"CELF1",0.0429737,1.67084,20.4691,0.02293425,2.260755,5.41012,5.79835,4.36953,0.05359355,57.6439,1.032113,0.7329665,16.1985,119.5065,0,49.55355,0.14697,0.616088,0,173.5865
"CELF2",25.1847,0.010287,4.90104,0.0052604,4.80112,26.8536,3.21051,2.019895,0.012322505,18.2508,2.948505,11.8286,0.0180843,9.353995,15.15565,0.0093729,10.074515,0.0085745,0.02279384,0.0196743
"CELF2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELF2-AS2",0,0,0,0,0,0,0,0,0,0,0.085848,0,0,0,0,0,2.20572,0,0,0
"CELF3",0.0399018,0.0295601,27.0277,3.310785,0.245051,0.151022,5.477835,0.895754,13.9337,45.8479,0.6404155,69.1023,31.4444,0.295626,39.7168,1.45352,0.0894523,0.4681625,10.11372,0.1117175
"CELF4",1.27376,0.0321381,0.0365562,0.0239702,0.669186,0.0695784,0.1317615,0.532436,0.01383,1.25473,6.26579,16.3377,48.2521,0.0916623,12.224,0,13.71345,22.9471,0.420436,10.14615
"CELF5",0.23707,0.0397973,6.1787,0.190327,1.283645,0,1.805435,0.06258335,85.92995,0.03947095,2.237545,0.01269,3.38237,3.848365,43.45075,91.3211,42.31135,0,34.75845,195.151
"CELF6",0,0,0.164635,0,0,0,0.01542925,0.330863,0,0,4.919255,0,0,0,0,129.0745,0,1.78625,0,0.052466
"CELP",0,0,0,0,8.35154,0,0,0,0,0,0.3755245,0,0,0,0,0,0,0,0,0.115044
"CELSR1",0,0,0,0,0,7.10756,0.244619,2.6853,0,0,0.9224305,0,0.114988,0.0090219,8.75357,0,1.67308,0,0,0
"CELSR2",13.2686,15.5892,0.617635,20.6124,12.33885,0.0373551,4.08368,1.86177,3.73858,0,1.630165,0,6.86753,0.02137375,0.0375077,0.06092035,0.2142425,13.2947,0.502634,91.16155
"CELSR3",0,3.72119,0.254174,22.837,1.892955,0.0340131,5.06126,0.0657341,0,1.179395,0.2189075,0,0.74429,0,6.684395,0.844556,5.98415,1.0441275,0,0
"CELSR3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.901375,0,0,0
"CEMIP",0,0,0,0,0.5209895,0,0.205451,0,3.553055,0,0.233754,0,0.0410511,0,0,0,0,0,0,0
"CEMP1",0,0.471011,0,0,0,0,0,0,0,0,0.31632,0,0,0,0,0,0,0,0,0
"CEND1",0,0,0,0,36.563,0,0.1304885,0.0374126,15.35535,37.0773,0.732707,114.8605,0,0.0829695,0,0.0776615,0.0228762,536.322,83.492,0.091197
"CENPA",0,0,0,0,0.0907505,0,0,0,0,0,2.55227,0,0,0,0,0,0,0,0,0
"CENPB",56.2664,0,0.378021,0,0,23.1366,0,4.50434,0.0367796,0,0.09021615,0,0,0.5468545,13.86735,0.0905655,0,0,0.537864,0.108362
"CENPBD1",2.85371,0.395139,0.442448,1.884285,3.653025,3.42316,4.204685,6.243725,2.07758,2.04117,10.155575,6.109705,6.78862,2.029105,7.423105,0.6574685,6.679315,0.724023,2.50731,3.63821
"CENPBD1P1",49.4193,2.46432,1.04371,0.807608,3.18594,3.04705,2.58675,3.19734,68.9,1.566435,7.41874,139.242,1.21677,2.70429,6.034155,0.537355,1.902075,0.318088,2.78956,1.0638615
"CENPC",0,0.832371,0,0,0.0169796,0,0,0.0148341,0,0,0.316241,0,0,0.05578355,0,0,0,0.01107475,0,0
"CENPE",0,0,0,0,0.034001,0,0,1.3142735,0,0,1.5509035,0,0,0,0,0,0,0,0,0
"CENPF",0,0,0,0,0.325525,0,0.07886355,0.6485255,0,0,4.534175,1.306145,0,0,0,0,0.05603,0,0,0
"CENPH",0.490732,0.941782,0.312357,0.670887,0.421628,0.710915,0.405112,3.293975,0.055415,0.402516,13.815,0.1128066,0.751043,0.5006575,0.974842,0.0327319,3.39259,0,0.0850257,0
"CENPI",0,0,0,0.0597493,0,0,0,0.01950815,0,0.0701189,0.397555,0,0,0,0.01466645,0,0,0,0,0
"CENPJ",0,0,0,0,0,0,0,0.00912975,0,0,0.0311871,0,0,0,0,0,0.4386355,0,0,0
"CENPK",0,0,0,0,0.036044,0,4.423375,0,0,0,1.311984,0,0,0,0,0,0,0,0,0
"CENPL",0.914835,1.1622,0.389141,0.2725685,0.7585075,0,0.3252225,1.41333,0.154772,3.04951,3.21623,0.8965965,0.149723,0.9125005,0.343221,0.16234465,1.1261865,0,0.15119845,0.410218
"CENPM",0,0,0,0,42.72875,0,0.405523,29.76705,0,0,5.808375,0,0,0,0,0,0,0,0,0.1739625
"CENPN",1.9671,2.15435,5.57355,1.52354,2.995625,0.947633,1.0256575,3.38673,15.23955,2.427855,5.682465,2.355255,0.27063,0.7556315,2.172135,0.653764,14.28525,0.16893695,1.0045325,0.849334
"CENPO",0,0,0,0,0.01193425,0.0677145,0,0.02201345,0.0287453,0,0.0886652,0,0,0,0,0,0.0523985,0,0,0
"CENPP",0,0,0,15.9896,0.0428518,0,0,0,0,0,0.0346577,0,0,0,0,0.676566,0.0212079,0,0,0.12050925
"CENPQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPT",0,0,14.1498,0,0.04545885,0,0,0.1242813,17.1091,0,0.6587705,7.779585,0.58124,0,0.04668485,0,0.098135,0,0,0.0403014
"CENPU",0,0,0,0,0,0,0.01108745,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPV",40.7105,0,6.05545,0,9.497785,0,0.4242345,1.672285,0,0.1574025,0.3253385,0,0,0,0,0,40.57495,0,305.663,0
"CENPVP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPW",0,0.129436,0,0,0.089461,0,0,0,0,0,0.1272215,0,0.129857,0,0,0,0,0,0,0
"CEP104",1.72399,0.665326,2.76873,2.084305,2.415065,2.33182,2.122495,3.341345,0.7704705,2.65518,5.202975,1.97713,0.79029,1.33459,2.190845,1.113775,5.575445,1.08335,1.045135,1.054389
"CEP112",0,0,0,0,0.4689875,0,0.283616,0,0,0,0.02185465,0,0,0,0,0,0.648561,0,0,0
"CEP120",0,0,3.12133,0,0,0,0,0,0.00676345,0,2.895025,0,0,0,0,0,0.0540108,50.6317,0.056421,0
"CEP128",0,0,0,0,0,0,0,2.168265,0,0,0.590354,0,0,0,0,0,0,0,0,0
"CEP131",0,0,0,0,0.134952,4.61485,0.7792295,0.357661,0,0,0.00546475,0,0,0.2729385,2.86892,0,1.059173,0,0,0
"CEP135",1.36743,7.95522,0.07009,0.0882504,1.00666,0.837197,0.5731995,0.6589235,19.55365,0.795037,2.26753,0.4798395,0,0.233686,0.331947,0.0260592,1.2873425,0.1851135,0.3426335,1.0083165
"CEP152",0,0,0,0,0,0,0,0.00825205,0,0.00822905,0,0,0,0,0,0,0,0,0,0
"CEP162",0,0,0,0,0.5890505,0,0.004902535,0.0091697,0,0,0.0169496,0,0,0,0.0069283,0,24.51525,0,0,0
"CEP164",0,0,3.42946,0.03529455,0.01543135,0,0,1.81721,0.169577,0,0.0119504,0,0,0,0,0,0.1017126,0.0792475,5.44737,0
"CEP170",27.6452,0.0110815,1.2103,2.868445,2.466345,0.0245046,2.122895,2.24548,9.19813,0.0231083,6.35166,0.0160228,0.378786,0.00746765,5.05835,13.4083,1.253785,0,15.98525,0.01758945
"CEP170B",0,0,5.92484,0.02258365,0.14604935,0.0798132,7.20124,0.01510545,0,0,0.0947662,0,33.7327,0,0.0747176,0,0.2834415,116.1485,0.460411,1.923075
"CEP170P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP19",2.54078,0.374357,0.318045,1.6021705,3.47715,33.4737,1.354645,3.201835,3.417695,1.60591,5.686185,0.5189645,0.612524,2.290295,2.512475,0.992382,3.19756,0.2535615,0.986267,46.72795
"CEP192",0,0,0,0,0,0,0.2670875,0,0.0313375,0,1.099085,0,0,0,0,0.01043665,0,0,0,0
"CEP250",0,1.83302,4.19323,0,0.8973455,0,0.01045025,2.32053,0.0071229,0.0401687,0.06520895,0,0,0,0,0,0.1152003,0,0,0.02057615
"CEP290",0.539885,0,0,0,0.0061298,0,0,5.483335,2.691145,0,0.09872795,0.1420234,1.00518,43.282,0.05687245,0,0.03017845,0,0.007097,32.3065
"CEP295",0,0.00906759,0,0,0.0318249,0,0,0,3.82866,0,1.11556,0,0,0,0.024138325,0.578754,1.397675,0,0,0
"CEP350",0,0,0.018231,0.28579,0,12.0574,0,1.619775,0.1978895,0,0.0510003,0.002038095,0,0,0.02378935,0,0,0,15.24545,3.07522
"CEP41",2.96438,1.06841,8.39492,2.444815,5.22105,58.4693,3.543445,3.76447,0.5257665,2.7715,16.4625,0.2899305,0.575978,2.622065,2.072735,0.778763,6.981025,1.244115,1.0594995,1.86136
"CEP44",0.48243,0.1506,0.102562,0.07694955,1.404525,0.19791,0.3910545,1.1101565,0.301508,0.805865,2.678925,0.1375338,0,0.1604155,0.2191485,0.1960855,14.7491,0.1166885,0.11170225,1.071133
"CEP55",0,0,0,0,0,0,0,0,0,0,0.03645865,0.0118561,0,0.3466875,0,0,0,0,0,0
"CEP57",0,8.31387,0.0463112,29.98735,0,8.99684,0.0091018,0.08498505,0.3424815,0,3.45124,0,0,152.041,0,28.0501,0.0268259,0.0553944,24.0518,0.04434555
"CEP57L1",0,0,0,0,1.300003,0,0,0,2.89745,0,0,0,0,0,0.0140405,0.0264808,1.924215,0,0,0
"CEP63",0.545768,0.126419,0.746074,63.17455,0.082986,0.036208,2.011235,0.0972954,0.1081821,0.21411,3.713855,0.0668399,0.0476106,0,0.0259769,0.01677685,0.300112,0,0.0078382,0.739968
"CEP68",99.5927,9.53081,0.326448,1.49266,1.774835,0.38972,1.272165,1.708595,0.1703905,1.446385,8.041555,0.330172,0.123248,0.3620665,0.5513575,0.2244665,1.849625,0.479503,0.2082735,0.4212675
"CEP70",0,0,0,0.0404467,1.17723,0,0.245673,0.5349845,0.0959586,0.1028036,0.2681125,0,0.31631,0.684059,0.4909665,0,1.987325,0,0.050705,0.0573004
"CEP72",0,0,0,0,0,0,0,0.03623405,0,0,0,0,0,0,0,0.7631555,5.85793,0,0,0
"CEP76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02152855,0,0.0703022,0,0,0
"CEP78",0,0,0,0,0,0,0,0.01860985,0,0,0,0,9.45536,0,0,0,0,0,0,0
"CEP83",0,0.200005,0,0.0106728,1.544045,0,0.19386495,1.210154,0,0,0.0296478,0,0,0,0,0,0,0,0,0
"CEP83-AS1",0.177684,0,0,0,0.120935,0,0.0737085,0.0763298,0.0457936,0.0912011,0.528849,0.041657,0,0,0.1936545,0,0.616851,0,0,0
"CEP85",0,0,0,0,0,0,0.2386585,0,0,0,0.0095042,0,0,0,0,0,3.87383,0,0.02759325,0
"CEP85L",0,0,0,0,0,0,0,0,0.824302,0,0.09092445,0.1807085,0,0.031758,0,0.0990302,67.34625,0,0.0079306,38.9026
"CEP89",0,0,0,0,0,0,0,11.72302,1.575135,0,0.01664605,0,0,0,37.7871,9.17129,0,0,0,0
"CEP95",0,0,0,0,11.339485,11.3182,0,0,0.845921,0,0.3900455,0,1.37804,0,0,0.01717715,0.768861,0,0,0.424595
"CEP97",0.225224,0.546318,0.29719,0.3592795,2.261985,0.966787,5.092655,1.273955,0.699134,1.3000745,6.58248,0.4940035,0.0944117,0.6094975,1.152533,22.771,3.910175,0.414183,0.667323,28.1007
"CEPT1",0,15.2411,0,0.3724115,0,0,0,0,0.0160071,0.03842065,0,0,0,0,0,0,0,0,0,0
"CER1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CERCAM",0,0,0,0,0,0,0,0,0,0,0.3451515,0.2790165,0,0,0,0.0960465,4.69285,0,0,0
"CERK",0.555044,2.08951,2.64421,5.238425,0.7007085,0,0.3493625,1.13457,3.88912,1.153265,1.153695,5.455805,0.132642,0.3401355,11.45455,85.7291,0.585378,0.954353,0,1.0774365
"CERKL",0.0463057,0.0290985,0,0.0810433,0.2134305,0,0,0.0181451,0,0.0629192,0.068792,0,0,0,0.04104515,0,0.345638,0,0,0
"CERS1",0,0,0,0,0.9966955,0,0.504989,0,131.5885,0,1.749905,0,0,0,0,0,0,0,0,0.0565575
"CERS2",0,0,0.215979,0,2.250755,0,0.056873,0.03832875,0,0,0,0,0,0,0.0382752,0.056781,44.0445,0,0,0
"CERS3",0,0,0,0,0,0.0529639,0.4789645,0,0,0,0,0.00932215,0,0,0,0,0,0,0,0
"CERS3-AS1",0,0,0,0,0,0,0.350581,0,0,0,1.3253,0,0,0,0,0,0,0,0,0
"CERS4",10.1207,0,0,0,0.061381,0,0.0507935,3.42347,0,0,0,0,0,0,8.33488,0,0,0,0,0
"CERS5",7.02946,21.7933,1.42657,1.47252,2.569655,3.35096,2.16104,8.40425,1.24086,6.53211,7.70207,0.4025305,0.687991,5.56894,4.50236,1.4502,20.3833,1.63091,1.071636,2.119475
"CERS6",8.93861,1.19208,1.5608,0.0111844,3.49982,0,0.01275162,17.68345,1.84044,6.78897,1.785015,0.0325389,8.81429,52.38595,0.03339285,1.364285,0.1343855,0.2403995,50.38575,0.0057823
"CERS6-AS1",0.313127,0,0,0,0,0,0,0.1471695,0.05863375,0,0,0,0,0.617348,0,0.02715545,0,0,0.140667,0
"CES1",0,0,0,0,0,0,0,0,0,0.02932685,0.10671805,0.02481225,0,0,0.04558815,0,0,0,0,0
"CES1P1",0,0,0,0,0,0,0,0.0200945,0,0,0.11282095,0,0,0,0,0,0.076723,0,0,0
"CES1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6187655,0,0,0,0,0
"CES2",0.759918,23.169,0.349648,2.312455,1.143085,1.80406,1.008068,1.165605,14.45785,1.012282,2.134525,0.0151865,0.146458,1.032478,0.3545395,0.3878995,4.008925,14.77445,2.28709,1.7694
"CES3",1.81803,2.27376,0.110579,2.45458,9.655925,0.2176,5.24824,2.70862,0.6203145,0.0818826,4.08382,0.01730965,0,8.430575,0.800679,0,2.59825,0.051444,0.0475842,6.00753
"CES4A",0,0,0,0,0.1328595,0,0.0539021,0,0,0.1018517,0,0,0,0,0,0,0,0,0,0
"CES5A",0,0,0,0.0411133,0,0,0.0567582,0,0,0,0.246939,0,0,0,0,0,0,0,0,0
"CES5AP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CETN1",0,0,0,0,0,0,0,0,0,0,0.151049,0,0,0,0,0,0,0,0,0
"CETN2",0,0.104707,0,6.58861,4.452005,73.6318,0.2593995,0.054087,0,0,0,0.859914,0,38.0484,0.225976,2.066965,4.734125,0,286.682,0
"CETN3",0,0,0,0,0,0,0.2871705,0,0,0,0,0,0,0,0,0,0,0,0,0
